num; time; fix; lat; lon; alt; times; timems
31; 20245; 0; 55.910648; 37.805382; 200.000000; 0; 0;
32; 20792; 0; 55.910648; 37.805382; 200.000000; 0; 0;
33; 21436; 0; 55.910648; 37.805382; 200.000000; 0; 0;
34; 21902; 0; 55.910648; 37.805382; 200.000000; 0; 0;
35; 22448; 0; 55.910648; 37.805382; 200.000000; 0; 0;
36; 23038; 0; 55.910648; 37.805382; 200.000000; 0; 0;
37; 24335; 0; 55.910648; 37.805382; 200.000000; 0; 0;
38; 24911; 0; 55.910648; 37.805382; 200.000000; 0; 0;
39; 25514; 0; 55.910648; 37.805382; 200.000000; 0; 0;
40; 26034; 0; 55.910648; 37.805382; 200.000000; 0; 0;
41; 26750; 0; 55.910648; 37.805382; 200.000000; 0; 0;
42; 27218; 0; 55.910648; 37.805382; 200.000000; 0; 0;
43; 27755; 0; 55.910648; 37.805382; 200.000000; 0; 0;
44; 28576; 0; 55.910648; 37.805382; 200.000000; 0; 0;
45; 29042; 0; 55.910648; 37.805382; 200.000000; 0; 0;
46; 29767; 0; 55.910648; 37.805382; 200.000000; 0; 0;
47; 30290; 0; 55.910648; 37.805382; 200.000000; 0; 0;
48; 30895; 0; 55.910648; 37.805382; 200.000000; 0; 0;
49; 31529; 0; 55.910648; 37.805382; 200.000000; 0; 0;
50; 32022; 0; 55.910648; 37.805382; 200.000000; 0; 0;
51; 32542; 0; 55.910648; 37.805382; 200.000000; 0; 0;
52; 33202; 0; 55.910648; 37.805382; 200.000000; 0; 0;
53; 33789; 0; 55.910648; 37.805382; 200.000000; 0; 0;
54; 34256; 0; 55.910648; 37.805382; 200.000000; 0; 0;
55; 34863; 0; 55.910648; 37.805382; 200.000000; 0; 0;
56; 35383; 0; 55.910648; 37.805382; 200.000000; 0; 0;
57; 35915; 0; 55.910648; 37.805382; 200.000000; 0; 0;
58; 36517; 0; 55.910648; 37.805382; 200.000000; 0; 0;
59; 37176; 0; 55.910648; 37.805382; 200.000000; 0; 0;
60; 37827; 0; 55.910648; 37.805382; 200.000000; 0; 0;
61; 38321; 0; 55.910648; 37.805382; 200.000000; 0; 0;
62; 38841; 0; 55.910648; 37.805382; 200.000000; 0; 0;
63; 39499; 0; 55.910648; 37.805382; 200.000000; 0; 0;
64; 40084; 0; 55.910648; 37.805382; 200.000000; 0; 0;
65; 40558; 0; 55.910648; 37.805382; 200.000000; 0; 0;
66; 41343; 0; 55.910648; 37.805382; 200.000000; 0; 0;
67; 41823; 0; 55.910648; 37.805382; 200.000000; 0; 0;
68; 42355; 0; 55.910648; 37.805382; 200.000000; 0; 0;
69; 42982; 0; 55.910648; 37.805382; 200.000000; 0; 0;
70; 43559; 0; 55.910648; 37.805382; 200.000000; 0; 0;
71; 44190; 0; 55.910648; 37.805382; 200.000000; 0; 0;
