num; time; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3
196;31416;45;-7;-999;494;4760;3804;0;-19;-13
197;31617;53;-11;-994;496;4755;3803;-19;0;0
198;31760;55;-10;-989;498;4760;3806;-19;0;0
199;31903;55;-5;-993;509;4744;3806;-19;0;0
200;32019;48;-17;-987;523;4752;3801;-19;-19;-13
201;32163;45;-17;-994;465;4754;3799;-19;-19;-13
202;32279;48;-1;-1005;513;4746;3804;0;-19;-13
203;32423;56;38;-1007;447;4809;3803;0;0;0
204;32539;61;-14;-992;503;4733;3803;-19;0;0
205;32683;83;-19;-996;499;4757;3828;-19;0;0
206;32812;58;-16;-972;494;4757;3803;-19;-19;-13
207;32956;62;0;-999;507;4721;3804;-19;-19;-13
208;33089;42;-19;-1000;497;4754;3803;-19;-19;-13
209;33293;51;-8;-996;495;4748;3804;-19;-19;-13
210;33411;57;-5;-1006;494;4759;3802;0;-19;-13
211;33560;48;-12;-1000;494;4756;3806;-19;0;0
212;33676;48;-9;-988;492;4748;3807;0;-19;-13
213;33877;48;-21;-999;500;4739;3803;0;-19;-13
214;33994;47;-15;-988;499;4748;3799;-19;0;0
215;34137;54;10;-986;544;4726;3806;-19;0;0
216;34254;49;-11;-990;581;4707;3820;-19;-19;-13
217;34399;50;-11;-1001;414;4799;3780;-19;-19;-13
218;34515;43;-13;-990;493;4760;3801;0;-19;-13
219;34731;45;-18;-985;577;4709;3809;0;-19;-13
220;34860;7;-7;-961;536;4723;3790;0;0;0
221;35004;40;-26;-990;433;4797;3797;0;0;0
222;35120;28;20;-989;500;4761;3823;-19;0;0
223;35264;32;4;-977;518;4734;3817;-19;0;0
224;35380;11;-17;-986;489;4725;3849;0;-19;-13
225;35524;61;3;-997;566;4720;3799;0;-19;-13
226;35640;38;-30;-986;452;4773;3645;0;0;0
227;35797;53;-18;-1009;493;4757;3805;0;0;0
228;35913;50;-2;-991;495;4758;3802;-19;0;0
229;36069;54;1;-995;496;4755;3804;-19;0;0
230;36199;49;-16;-995;496;4756;3803;-19;-19;-13
231;36399;54;-10;-998;525;4756;3804;0;-19;-13
232;36514;47;-20;-986;500;4755;3791;-19;0;0
233;36658;52;-10;-1001;496;4756;3802;-19;0;0
234;36775;53;-8;-996;490;4746;3803;-19;-19;-13
235;37058;54;-9;-999;530;4742;3792;0;-19;-13
236;37174;56;-3;-999;493;4743;3801;-19;0;0
237;37319;50;-14;-993;497;4755;3804;-19;0;0
238;37435;55;-9;-995;497;4759;3802;-19;-19;-13
239;37592;57;-18;-1001;497;4760;3803;-19;0;0
240;37711;49;-15;-996;497;4753;3803;-19;-19;-13
241;37915;52;-11;-982;499;4757;3802;-19;-19;-13
242;38058;46;-11;-1002;494;4763;3804;0;-19;-13
243;38202;60;-11;-995;491;4777;3803;0;-19;-13
244;38318;51;-7;-993;490;4773;3803;0;-19;-13
245;38462;59;-16;-1000;503;4737;3805;0;-19;-13
246;38579;46;-17;-991;496;4758;3809;-19;0;0
247;38722;48;-17;-1001;497;4759;3816;-19;0;0
248;38839;50;-7;-989;499;4756;3804;-19;-19;-13
249;38996;49;-13;-993;495;4757;3803;-19;-19;0
250;39113;46;-14;-990;495;4769;3803;0;-19;-13
251;39257;51;-12;-993;497;4755;3799;0;-19;-13
252;39386;41;-14;-999;488;4795;3792;0;-19;-13
253;39587;59;-10;-996;495;4768;3802;-19;0;0
254;39704;60;-9;-988;498;4755;3804;-19;-19;-13
255;39852;61;-21;-988;494;4751;3802;-19;0;0
256;39971;54;-13;-1003;494;4760;3802;-19;0;0
257;40179;53;-13;-996;496;4764;3804;0;-19;-13
258;40296;50;-16;-997;492;4752;3802;-19;0;0
259;40439;52;-20;-998;496;4754;3805;-19;0;0
260;40555;45;-22;-1009;493;4759;3852;-19;-19;-13
261;40700;52;-31;-996;495;4766;3804;-19;-19;-13
262;40816;14;-31;-997;500;4755;3784;0;-19;-13
263;41100;47;-9;-994;496;4755;3803;-19;0;0
264;41229;50;-8;-994;495;4758;3804;-19;0;0
265;41445;52;-3;-987;496;4757;3802;-19;0;0
266;41561;51;-20;-1003;496;4757;3804;0;-19;-13
267;41704;51;-14;-1005;495;4752;3802;0;-19;-13
268;41820;46;-12;-992;496;4757;3803;-19;0;0
269;41964;49;-6;-990;495;4756;3802;-19;0;0
270;42079;47;-20;-993;497;4754;3802;-19;-19;-13
271;42237;56;1;-982;495;4757;3803;-19;0;0
272;42352;45;-14;-998;494;4752;3803;0;-19;-13
273;42496;53;-9;-996;496;4756;3804;0;-19;-13
274;42625;51;1;-979;498;4758;3802;-19;0;0
275;42769;48;-13;-996;497;4756;3802;-19;0;0
276;42980;58;-11;-991;499;4753;3802;-19;-19;-13
277;43124;48;-16;-1000;498;4756;3803;-19;-19;-13
278;43239;46;-5;-992;498;4751;3802;0;-19;-13
279;43440;42;-8;-996;482;4801;3801;-19;0;0
280;43556;21;0;-977;495;4759;3801;-19;-19;-13
281;43700;62;-6;-988;478;4822;3800;-19;-19;-13
282;43816;65;2;-1021;487;4766;3801;0;-19;-13
283;43961;41;-18;-984;498;4756;3801;0;-19;-13
284;44077;43;-16;-997;495;4758;3802;-19;0;0
285;44278;50;-12;-985;497;4761;3803;-19;0;0
286;44408;54;-17;-1005;504;4736;3800;-19;-19;-13
287;45384;52;-14;-1008;492;4765;3801;-19;0;0
288;45500;41;-3;-984;500;4750;3802;0;-19;-13
289;45644;44;-15;-999;497;4757;3803;0;-19;-13
290;45760;56;-13;-998;487;4784;3801;0;0;0
291;45903;64;-6;-999;500;4744;3803;0;0;0
292;46019;45;-12;-977;501;4758;3803;-19;0;0
293;46301;62;-14;-990;500;4754;3801;0;-19;-13
294;46417;56;-13;-999;504;4719;3805;-19;0;0
295;46618;52;-10;-1000;494;4757;3803;-19;-19;-13
296;46734;54;-15;-1000;496;4757;3802;0;-19;-13
297;46878;55;-17;-1001;496;4757;3802;0;-19;-13
298;46994;58;-4;-996;498;4756;3804;0;0;0
299;47195;40;-24;-980;498;4761;3803;-19;0;0
300;47311;78;3;-983;486;4793;3802;0;-19;-13
301;47515;54;-11;-985;492;4766;3796;0;-19;-13
302;47634;46;-8;-990;498;4760;3801;0;-19;-13
303;47781;2;-8;-989;516;4678;3808;-19;-19;-13
304;47901;58;-1;-991;497;4748;3810;-19;-19;-13
305;48140;52;-10;-1007;492;4753;3802;0;-19;-13
306;48269;61;-16;-991;494;4766;3802;0;-19;-13
307;48413;57;0;-990;488;4757;3800;0;-19;-13
308;48542;40;0;-972;501;4744;3804;-19;0;0
309;48687;55;-16;-995;498;4764;3803;-19;0;0
310;48817;48;-25;-993;502;4740;3798;-19;0;0
311;48961;54;4;-997;497;4753;3802;-19;0;0
312;49077;57;-32;-1004;497;4757;3806;-19;-19;-13
313;49222;53;-9;-985;502;4759;3799;-19;-19;-13
314;49337;64;0;-989;496;4764;3803;0;-19;-13
315;49537;54;-9;-997;494;4756;3801;-19;0;0
316;49653;57;-14;-995;497;4751;3772;0;-19;-13
317;49854;33;-75;-1076;460;4742;3829;0;-19;-13
318;49969;47;-92;-1088;717;3851;4143;-19;0;0
319;50113;-151;56;-1022;545;3939;3667;-19;0;0
320;50229;-224;23;-1028;292;4255;3195;0;-19;-13
321;50429;-291;-204;-936;504;3969;3497;0;-19;-13
322;50558;-393;-166;-903;-214;4508;3407;-19;0;0
323;50701;-304;-76;-867;-668;4457;3017;-19;0;0
324;50817;-409;40;-705;-127;4499;2601;-19;-19;-13
325;50961;-521;-16;-598;20;5013;2401;0;-19;-13
326;51078;-545;-64;-884;594;4764;3048;0;-19;-13
327;51221;-566;-20;-884;726;4627;3424;0;-19;-13
328;51351;-594;-76;-822;686;4780;3614;-19;0;0
329;51508;-524;-124;-845;330;4860;3731;0;0;0
330;51624;-429;-345;-893;6;4771;2515;-19;0;0
331;51781;-407;-443;-1046;286;5520;2448;-19;0;0
332;51911;-202;-388;-955;739;5330;2782;-19;-19;-13
333;52060;-64;-301;-830;921;4970;3384;-19;0;0
334;52176;-96;-411;-929;-245;5335;4112;-19;-19;-13
335;52319;-45;-234;-765;-747;5060;4845;-19;-19;-13
336;52435;18;-195;-949;334;4763;4548;0;-19;-13
337;52635;139;-35;-964;-445;5149;4927;-19;0;0
338;52765;220;24;-1062;1093;5003;4341;-19;0;0
339;52908;217;-149;-1106;493;4366;4327;-19;-19;0
340;53024;138;-172;-1034;255;4742;4497;0;-19;-13
341;53181;-3;-50;-1001;287;4561;4811;0;-19;-13
342;53296;172;-162;-1232;389;4589;3546;-19;0;0
343;53497;15;-16;-986;496;4754;3801;-19;-19;-13
344;53626;22;-23;-986;484;4768;3802;0;-19;-13
345;53770;10;-21;-995;498;4755;3804;0;-19;-13
346;53886;7;-17;-996;488;4761;3803;0;0;0
347;54029;9;-27;-1004;502;4753;3803;0;0;0
348;54148;7;-22;-993;498;4757;3803;-19;0;0
