"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
1232;77473;77.47000122070312;-0.3233334422111511;0.16267633438110352;0.09139896929264069;0.9277058839797974;18398;
1237;78368;78.36499786376953;0.23474998772144318;0.18442584574222565;-0.10737825930118561;0.9483403563499451;58893;
1240;78566;78.56300354003906;0.3057222068309784;0.16095289587974548;-0.0704304501414299;0.9357710480690002;16100;
1248;79033;79.02999877929688;0.5662142634391785;0.057319365441799164;-0.011669636704027653;0.822179913520813;21643;
1250;79146;79.14299774169922;0.6338884830474854;0.08836530894041061;-0.0064983791671693325;0.7683324813842773;17898;
1251;79199;79.19599914550781;0.661941647529602;0.09399253875017166;-0.022872520610690117;0.7432869672775269;32844;
1253;79304;79.3010025024414;0.7198470234870911;0.11193301528692245;-0.05238646641373634;0.6830424666404724;32037;
1258;79571;79.56800079345703;0.8431499004364014;0.11746037751436234;-0.17352572083473206;0.49516671895980835;36313;
1260;79690;79.68699645996094;0.8961028456687927;0.06132451072335243;-0.18182899057865143;0.40022140741348267;11783;
1269;80178;80.17500305175781;0.9862679839134216;-0.0035102670080959797;-0.1604672223329544;0.03890429809689522;17078;
1273;80423;80.41999816894531;0.9879754781723022;-0.0030665146186947823;-0.13103246688842773;-0.08201052248477936;53938;
1275;80523;80.5199966430664;0.9854212999343872;-0.0033393786288797855;-0.12002928555011749;-0.12052707374095917;45351;
1280;80822;80.81999969482422;0.9778422713279724;-0.03974087908864021;-0.14802442491054535;-0.142597034573555;5509;
1284;81057;81.05400085449219;0.9734623432159424;-0.04923023283481598;-0.16061833500862122;-0.15540000796318054;19062;
1286;81158;81.15499877929688;0.975070059299469;-0.05400487780570984;-0.16098719835281372;-0.14284591376781464;63615;
1290;81398;81.3949966430664;0.9764593243598938;-0.03347384184598923;-0.16114993393421173;-0.13941827416419983;18381;
1292;81514;81.51100158691406;0.9768068790435791;-0.04616422578692436;-0.16120126843452454;-0.13315895199775696;19878;
1295;81673;81.66999816894531;0.9792870283126831;-0.04125251621007919;-0.1547861546278;-0.12384018301963806;600;
1297;81779;81.7760009765625;0.978200376033783;-0.04542679339647293;-0.1604948192834854;-0.12370061129331589;21094;
1301;82022;82.01899719238281;0.9767916798591614;-0.037366483360528946;-0.16847684979438782;-0.12687543034553528;1603;
1306;82301;82.2979965209961;0.9735637307167053;-0.036166928708553314;-0.17604002356529236;-0.1409805417060852;41334;
1308;82403;82.4000015258789;0.9704557657241821;-0.04690365120768547;-0.1863010823726654;-0.14597101509571075;45519;
1309;82456;82.4530029296875;0.9697741866111755;-0.053394418209791183;-0.1853610724210739;-0.1494263857603073;18327;
1311;82574;82.5719985961914;0.9705502390861511;-0.04725230112671852;-0.17305037379264832;-0.16078853607177734;9517;
1314;82754;82.75199890136719;0.9672701358795166;-0.04359322041273117;-0.1693737804889679;-0.18384937942028046;3171;
1318;82989;82.98699951171875;0.9639805555343628;-0.049454089254140854;-0.1650804579257965;-0.2025933861732483;18177;
1322;83204;83.2020034790039;0.9679712653160095;-0.0390046201646328;-0.16796857118606567;-0.18247418105602264;20382;
1328;83539;83.53600311279297;0.9672262668609619;-0.04316994920372963;-0.1838618367910385;-0.1697189062833786;53203;
1330;83642;83.63800048828125;0.9688830375671387;-0.04343623295426369;-0.1823127120733261;-0.16168223321437836;52994;
1344;85044;85.04199981689453;0.9428699016571045;-0.055889345705509186;-0.15362843871116638;-0.2902945578098297;13506;
1348;85271;85.26899719238281;0.9258650541305542;-0.0400298573076725;-0.1515888124704361;-0.34379133582115173;45817;
1350;85387;85.38400268554688;0.924901008605957;-0.021334225311875343;-0.14516182243824005;-0.3507579565048218;22284;
1352;85488;85.48500061035156;0.9379180669784546;-0.0015165589284151793;-0.14384706318378448;-0.31561896204948425;34040;
1353;85540;85.53800201416016;0.9465337991714478;0.005884041078388691;-0.14739377796649933;-0.286904513835907;52017;
1354;85626;85.6240005493164;0.965954065322876;0.011322597973048687;-0.1456897258758545;-0.2134922444820404;15404;
1361;86010;86.00700378417969;0.950901448726654;-0.02149103209376335;-0.106194406747818;0.2899092435836792;34310;
1363;86110;86.10700225830078;0.9241214394569397;-0.10520140081644058;-0.08511137217283249;0.35733500123023987;26459;
1364;86162;86.16000366210938;0.9098121523857117;-0.163446843624115;-0.09871537983417511;0.36848634481430054;55880;
1367;86334;86.33200073242188;0.8246759176254272;-0.33739691972732544;-0.19579912722110748;0.4095553159713745;60585;
1371;4260831008;131666509037568.0;-0.9804067015647888;-0.37241679430007935;-0.4335152506828308;1.43130500260203e+38;32683;
1372;86616;86.61299896240234;0.6980342864990234;-0.34734082221984863;-0.47362592816352844;0.4096105992794037;41982;
1374;86719;86.71199798583984;0.6711835265159607;-0.30000773072242737;-0.5242529511451721;0.42972874641418457;10687;
1380;87064;87.06099700927734;0.48711636662483215;-0.17048925161361694;-0.38144055008888245;0.7669121026992798;19786;
1383;87233;87.2300033569336;0.36162981390953064;-0.07145027071237564;-0.2618753910064697;0.8919305205345154;19457;
1385;87335;87.33200073242188;0.33905455470085144;-0.021055683493614197;-0.23669037222862244;0.9102616310119629;39501;
1387;87464;87.46099853515625;0.30226752161979675;-0.023835407570004463;-0.2589254379272461;0.9170735478401184;14500;
1396;87971;87.96800231933594;0.14005893468856812;-0.020427905023097992;-0.34140992164611816;0.9291961789131165;18924;
1405;88479;88.47599792480469;0.1391187459230423;0.04885196313261986;-0.2663629651069641;0.9525283575057983;64559;
1406;88535;88.53199768066406;0.14001968502998352;0.043025903403759;-0.26349031925201416;0.953475832939148;51003;
1407;88585;88.58100128173828;0.1356150060892105;0.027615943923592567;-0.27740412950515747;0.9507328271865845;12645;
1416;89093;89.08899688720703;0.28190651535987854;0.18555420637130737;-0.559516429901123;0.7569938898086548;44360;
1417;89145;89.14299774169922;0.28732049465179443;0.19545289874076843;-0.5764619708061218;0.7395516633987427;58613;
1419;89251;89.2490005493164;0.31333988904953003;0.23689092695713043;-0.597749650478363;0.6988534927368164;35698;
1422;89429;89.427001953125;0.2651906907558441;0.1807694286108017;-0.6233987808227539;0.7130008935928345;23305;
1427;89705;89.7020034790039;0.32043784856796265;0.14311054348945618;-0.5781689286231995;0.7365865111351013;1642;
1439;90977;90.9749984741211;0.38057973980903625;0.24844686686992645;-0.2526327967643738;0.8541720509529114;37243;
1440;91046;91.04299926757812;0.3733471930027008;0.26844263076782227;-0.2848919928073883;0.8410629630088806;23323;
1449;91568;91.56500244140625;0.3255334198474884;0.35205718874931335;-0.3440777659416199;0.8072757720947266;16673;
1450;91620;91.61799621582031;0.2985265851020813;0.3405429422855377;-0.3502653241157532;0.8198943138122559;64767;
1461;92230;92.22699737548828;0.3423091471195221;0.2973494231700897;-0.25111058354377747;0.8551907539367676;10096;
1462;92280;92.2770004272461;0.33999040722846985;0.29726681113243103;-0.24915988743305206;0.8567137122154236;38816;
1466;92501;92.49800109863281;0.3253808319568634;0.29434457421302795;-0.26007091999053955;0.8601463437080383;16137;
1471;92805;92.802001953125;0.2958851754665375;0.31901270151138306;-0.2392643243074417;0.8680065274238586;47937;
1473;92908;92.90499877929688;0.2836657166481018;0.2741255462169647;-0.2292431890964508;0.889851987361908;61533;
1482;93414;93.41100311279297;0.4370567202568054;0.09867221117019653;-0.12460033595561981;0.8852795958518982;8720;
1483;93470;93.46800231933594;0.4925500154495239;0.163226917386055;-0.19888277351856232;0.8313826322555542;20636;
1484;93523;93.5199966430664;0.5227348804473877;0.20381982624530792;-0.26351165771484375;0.7847084403038025;31784;
1493;94025;94.02200317382812;0.4229656457901001;0.31345033645629883;-0.4111135005950928;0.7442007064819336;454;
1494;94077;94.07499694824219;0.40535297989845276;0.31703129410743713;-0.40833190083503723;0.7539529800415039;64178;
1495;94130;94.12699890136719;0.39910945296287537;0.3105541467666626;-0.3979778587818146;0.7654288411140442;55487;
1504;94656;94.6520004272461;0.4299105703830719;0.3335776925086975;-0.37276557087898254;0.7516306638717651;29409;
1506;94758;94.75499725341797;0.41373831033706665;0.30573683977127075;-0.3699187934398651;0.7736315727233887;64776;
1515;95260;95.25700378417969;0.24155519902706146;0.07278064638376236;-0.014102351851761341;0.9675511121749878;4686;
1517;95372;95.36900329589844;0.2332044243812561;0.0877731442451477;0.01505028735846281;0.9683414697647095;20609;
1522;95638;95.63500213623047;0.30528923869132996;0.074722521007061;0.0020514714997261763;0.9493212103843689;14286;
1528;95991;95.98799896240234;0.39634084701538086;0.10640831291675568;-0.014586472883820534;0.9117996096611023;22327;
1535;96393;96.38999938964844;0.38122349977493286;0.09659449011087418;-0.02945445477962494;0.9189507961273193;1713;
1537;96964;96.96099853515625;0.39837920665740967;0.14776736497879028;0.1620367020368576;0.8906193971633911;43012;
1539;97228;97.2249984741211;0.3711469769477844;0.159468874335289;0.09761975705623627;0.9095547795295715;12882;
1541;97350;97.34700012207031;0.3531576693058014;0.16029289364814758;0.08483090251684189;0.9178178906440735;4363;
1548;97763;97.76000213623047;0.4104047417640686;0.10269850492477417;-0.000963439408224076;0.9061015844345093;25339;
1554;98093;98.09100341796875;0.4179109036922455;0.08780832588672638;-0.010395319201052189;0.9041748642921448;3404;
1557;90066;66.00499725341797;2.421024535362304e-13;7.217936372292538e-14;-0.02265898324549198;0.9121906161308289;20756;
1559;98374;98.37100219726562;0.36207661032676697;0.10878276079893112;-0.01715812459588051;0.9256199598312378;15696;
1561;98480;98.47699737548828;0.35301563143730164;0.09908031672239304;-0.024039560928940773;0.9300457239151001;37426;
1570;98977;98.9739990234375;0.4453001022338867;0.07650458067655563;-0.009538907557725906;0.8920559883117676;3388;
1572;99087;99.08399963378906;0.4329259693622589;0.09279652684926987;-0.00731301074847579;0.8966104388237;33342;
1580;99526;99.52300262451172;0.38037869334220886;0.12546920776367188;-0.04490678757429123;0.9151791334152222;22592;
1581;99586;99.58000183105469;0.372893750667572;0.140634685754776;-0.048181191086769104;0.9158880114555359;50342;
1583;99697;99.69400024414062;0.37933269143104553;0.11859552562236786;-0.022741563618183136;0.9173465371131897;58745;
1592;100206;100.2030029296875;0.47766047716140747;0.12631821632385254;-0.03270786628127098;0.8688004612922668;35356;
1603;100828;100.82499694824219;0.47253724932670593;0.07042014598846436;-0.03999338671565056;0.8775819540023804;55680;
1606;100992;100.98899841308594;0.5188471674919128;0.06950356811285019;-0.04272676631808281;0.8509650230407715;6560;
1613;101380;101.37799835205078;0.5037643909454346;0.08469455689191818;-0.03598138317465782;0.8589258193969727;9379;
1614;101452;101.4489974975586;0.4916486442089081;0.09361813217401505;-0.06050194799900055;0.8636299967765808;52665;
1616;101554;101.5510025024414;0.48025867342948914;0.06893676519393921;-0.06389106810092926;0.8720764517784119;61117;
1624;102048;102.04499816894531;0.5137946009635925;0.08686850965023041;-0.035198383033275604;0.852777898311615;24021;
1627;102207;102.2040023803711;0.5507473945617676;0.06063449755311012;-0.011416277848184109;0.8323883414268494;3353;
1635;102649;102.64700317382812;0.569189727306366;0.043255213648080826;-0.0580630823969841;0.8190120458602905;18685;
1636;102706;102.7030029296875;0.5661904215812683;0.03739723935723305;-0.052048638463020325;0.8217790722846985;58784;
1645;103805;103.8030014038086;0.5161751508712769;0.22022020816802979;-0.07800634205341339;0.8240031599998474;17484;
1647;103921;103.91799926757812;0.5061135292053223;0.18074387311935425;-0.061266399919986725;0.8410869836807251;28555;
1658;104560;104.55699920654297;0.5557260513305664;0.035310160368680954;-0.018029412254691124;0.8304195404052734;11989;
1660;104662;104.65899658203125;0.5585900545120239;0.04134486988186836;-0.03149985894560814;0.8278136849403381;10749;
1667;105046;105.04299926757812;0.5326343178749084;0.04679948836565018;-0.029045505449175835;0.8445513248443604;60298;
1669;105165;105.16200256347656;0.520903468132019;0.06038191169500351;-0.04453525319695473;0.850311815738678;32377;
1670;105217;105.21499633789062;0.5186905264854431;0.0651894137263298;-0.04458237066864967;0.8513064980506897;2797;
1671;105267;105.26399993896484;0.5209971070289612;0.06482835114002228;-0.030005428940057755;0.8505638837814331;45411;
1677;105604;105.60199737548828;0.6073165535926819;0.03609078750014305;0.00019698562391567975;0.7936396598815918;20786;
1683;105922;105.91999816894531;0.6167144179344177;0.06761350482702255;-0.030180377885699272;0.7836970090866089;54100;
1691;106389;106.38600158691406;0.5817534923553467;0.08331113308668137;-0.045040812343358994;0.8078325986862183;3567;
1693;106489;106.48600006103516;0.6053208708763123;0.08082552254199982;-0.024061504751443863;0.7915017008781433;34921;
1695;106608;106.60600280761719;0.6377765536308289;0.06624092906713486;-0.015125267207622528;0.7672186493873596;21281;
1696;106654;106.6520004272461;0.6385164856910706;0.07186020165681839;-0.006387972738593817;0.7662192583084106;34603;
1697;106728;106.72599792480469;0.6504380106925964;0.059259720146656036;-0.020711123943328857;0.7569607496261597;20599;
1709;107429;107.427001953125;0.5987357497215271;0.07229740917682648;-0.028681349009275436;0.7971612215042114;17848;
1713;107663;107.66000366210938;0.619007408618927;0.08934588730335236;-0.02215239405632019;0.7799720764160156;9632;
1720;108046;108.04299926757812;0.6955565214157104;0.04121870547533035;0.012865861877799034;0.7171726226806641;37338;
