"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1060;244220;0;nan;nan;nan;44455;0;29685;
1061;244427;0;nan;nan;nan;44455;0;17687;
1075;247307;0;nan;nan;nan;44458;0;28348;
1138;262124;0;nan;nan;nan;44473;0;21456;
1139;262341;0;nan;nan;nan;44473;0;64390;
1141;262755;0;nan;nan;nan;44474;0;32449;
1165;267696;0;nan;nan;nan;44479;0;41577;
1171;269578;0;nan;nan;nan;44481;0;57214;
1177;270789;0;nan;nan;nan;44482;0;36078;
1192;273890;0;nan;nan;nan;44485;0;25735;
1197;134493589;2;nan;nan;nan;3391796935;2068753846;10837;
1199;275950;0;nan;nan;nan;44487;0;41088;
1210;278223;0;nan;nan;nan;44489;0;16572;
1216;279484;0;nan;nan;nan;44491;0;28738;
1221;281123;0;nan;nan;nan;44492;0;25288;
1222;281321;0;nan;nan;nan;44492;0;62400;
1225;281952;0;nan;nan;nan;44493;0;8748;
1229;282770;0;nan;nan;nan;44494;0;19357;
1231;283182;0;nan;nan;nan;44494;0;35051;
1234;283796;0;nan;nan;nan;44495;0;29173;
1235;284013;0;nan;nan;nan;44495;0;41229;
1240;285048;0;nan;nan;nan;44496;0;19880;
1244;285870;0;nan;nan;nan;44497;0;58091;
1246;286274;0;nan;nan;nan;44497;0;52110;
1252;288114;0;nan;nan;nan;44499;0;50203;
1255;288747;0;nan;nan;nan;44500;0;6130;
1259;289564;0;nan;nan;nan;44501;0;42675;
1261;289996;0;nan;nan;nan;44501;0;21830;
1267;291231;0;nan;nan;nan;44502;0;16442;
1270;291842;0;nan;nan;nan;44503;0;37259;
1273;292472;0;nan;nan;nan;44503;0;36455;
1282;294931;0;nan;nan;nan;44506;0;26419;
1285;295554;0;nan;nan;nan;44507;0;38380;
1293;297248;0;nan;nan;nan;44508;0;10671;
1300;298687;0;nan;nan;nan;44510;0;15411;
1303;299291;0;nan;nan;nan;44510;0;55877;
1304;300118;0;nan;nan;nan;44511;0;38653;
1307;300745;0;nan;nan;nan;44512;0;50231;
1312;301778;0;nan;nan;nan;44513;0;55993;
1318;303000;0;nan;nan;nan;44514;0;31990;
1319;303211;0;nan;nan;nan;44514;0;31607;
1324;304258;0;nan;nan;nan;44515;0;46570;
1327;304879;0;nan;nan;nan;44516;0;55761;
1330;305503;0;nan;nan;nan;44517;0;5079;
1333;306731;0;nan;nan;nan;44518;0;22786;
1336;307352;0;nan;nan;nan;44518;0;1831;
