"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
145;34496;-4.1493442189675774e-30;1.0;5.731172304855418e-15;143.6324920654297;-12.800470352172852;52511;
146;34702;5.313824658514932e-05;1.0;4.687721998769545e-12;133.38304138183594;-6.805800914764404;26551;
149;35317;-1.0;2.9817304577455976e-19;3.140037493127642e-17;124.08483123779297;-5.187694072723389;62380;
151;35718;1.0;1.5928878503181051e-18;0.0;113.78019714355469;-4.770350456237793;46108;
154;36328;-0.9999880790710449;0.004868185613304377;-2.1813235775818463e-32;121.79422760009766;-5.031541347503662;55856;
158;37158;0.0;0.0;0.0;126.39918518066406;-4.894773483276367;35423;
160;37574;0.0;0.0;0.0;132.88523864746094;-5.610483169555664;40091;
163;38183;-0.0;0.0;0.0;133.43992614746094;-4.795944690704346;23981;
164;38387;-0.0;0.0;-0.0;131.41859436035156;-5.216451644897461;9192;
166;38816;1.5455188135628288e-31;1.0;-7.283890287798633e-13;134.3576202392578;-5.393263339996338;17532;
167;39021;nan;nan;nan;128.83291625976562;-4.689916133880615;10054;
169;39426;0.0;0.0;-0.0;134.4483642578125;-4.5153656005859375;26944;
170;39641;2.0538474872581227e-23;1.0;-1.568251354910899e-05;137.25503540039062;-4.6653594970703125;38954;
172;40654;-0.0;0.0;0.0;140.7871856689453;-5.722405433654785;46570;
175;41268;0.9592494964599609;1.7143754471593553e-10;-0.2825603485107422;146.3566436767578;-4.432754039764404;46593;
178;41892;0.0;0.0;0.0;152.55783081054688;-4.799439430236816;59086;
181;42498;-1.0;1.354464515880694e-18;-2.548357358467257e-10;151.7489776611328;-4.589311122894287;63344;
183;42930;1.6392701473045938e-14;2.705660695490053e-10;-1.0;143.35292053222656;-4.705391883850098;22701;
184;43142;1.2445770867890171e-13;1.0;9.606915550618503e-15;157.45408630371094;-4.64774751663208;57427;
185;43353;5.825342482661056e-35;1.0;-7.03720983131745e-28;146.921142578125;-4.980909824371338;35878;
188;43969;-1.0;2.238174703194384e-19;-2.2960793975339356e-35;150.94113159179688;-5.187963962554932;28178;
190;44371;2.722405822533959e-26;1.0;-7.024121493945462e-34;157.2620849609375;-4.463098526000977;25203;
191;44578;4.6084998095387244e-37;6.701908472628304e-11;1.0;154.59910583496094;-4.887322425842285;5134;
193;44983;-0.0;0.0;-0.0;151.13951110839844;-5.573343753814697;43174;
194;45193;-0.0;0.0;0.0;159.3323516845703;-5.174734115600586;39360;
196;45588;-0.0;0.0;0.0;161.18173217773438;-5.543780326843262;951;
199;46820;0.0;-0.0;-0.0;-165.57798767089844;-10.881598472595215;49119;
200;47024;1.0;8.52374300623739e-18;8.099879866385398e-20;173.0323028564453;-5.681386470794678;48151;
203;47640;0.0;0.0;0.0;166.72169494628906;-5.085100173950195;12963;
204;47840;-0.0;0.0;0.0;162.63462829589844;-5.257000923156738;8488;
