"Number";"Time_ms";"Temp BME";"Pressure";"Humidity";Height BME";"Lux";"State";"crc"
90;21939;3698;99833;39;-0.18665681779384613;831.38818359375;0;47577;
93;22585;3698;99833;39;-0.22219263017177582;813.5670776367188;0;43753;
95;23007;3699;99834;39;-0.3116625249385834;815.6397094726562;0;1445;
96;23203;3699;99834;39;-0.3116625249385834;808.4131469726562;0;28617;
99;23827;3699;99831;39;-0.02734103426337242;820.8488159179688;0;18270;
101;24244;3700;99832;39;-0.12374439835548401;816.6784057617188;0;58496;
105;25048;3700;99833;39;-0.223057359457016;805.33935546875;0;28184;
108;25656;3701;99833;39;-0.1783924102783203;760.8606567382812;0;13763;
111;26270;3702;99832;39;-0.14482325315475464;859.5632934570312;0;17693;
120;28759;3703;99831;40;-0.058389272540807724;859.5632934570312;0;59510;
122;29165;3703;99831;40;-0.058389272540807724;868.4645385742188;0;30018;
123;29364;3702;99831;40;-0.0640827864408493;875.2145385742188;0;60605;
126;29973;3701;99829;40;0.13311393558979034;1007.2153930664062;0;42082;
129;30602;3700;99830;40;0.02479783445596695;789.1799926757812;0;60380;
133;31412;3698;99830;40;0.007080574985593557;809.4407348632812;0;712;
135;31820;3697;99830;40;0.0008669217932038009;829.267333984375;0;44516;
138;32449;3696;99829;40;0.11930320411920547;849.6814575195312;0;28508;
139;32656;3696;99829;40;0.11930320411920547;852.9599609375;0;77;
141;33069;3695;99831;40;-0.04819006845355034;855.1542358398438;0;56365;
144;34314;3691;99831;40;-0.06040646880865097;852.9599609375;0;58460;
146;34734;3690;99833;39;-0.2094583660364151;865.113525390625;0;60247;
150;35542;3689;99829;39;0.1169188991189003;860.6697998046875;0;37109;
155;36572;3689;99830;39;0.07883138954639435;858.45849609375;0;58052;
159;37383;3690;99833;39;-0.20180419087409973;845.3336181640625;0;12177;
160;37600;3690;99831;39;-0.04253491386771202;851.8654174804688;0;55954;
168;39249;3690;99830;39;0.037276558578014374;748.5557861328125;0;3447;
171;40482;3692;99830;40;0.02888636104762554;822.94384765625;0;16548;
174;41092;3692;99830;40;0.05439941585063934;806.3622436523438;0;32775;
177;41697;3691;99833;40;-0.19416466355323792;801.2627563476562;0;15318;
180;42326;3691;99832;40;-0.15807972848415375;799.2337036132812;0;9987;
183;42969;3690;99829;40;0.1005115807056427;816.6784057617188;0;54654;
186;43572;3690;99832;40;-0.09666386991739273;834.5814819335938;0;59530;
188;43995;3691;99831;39;-0.04946966841816902;827.1529541015625;0;52276;
189;44199;3691;99831;39;-0.04946966841816902;838.8624877929688;0;2492;
190;44400;3691;99831;39;-0.04946966841816902;836.7185668945312;0;27617;
192;44804;3691;99830;40;0.03891312703490257;841.0128173828125;0;26083;
195;45413;3691;99832;39;-0.1150728389620781;844.2508544921875;0;39505;
