"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
265;10851;10.83899974822998;0.22583194077014923;0.0776619017124176;-0.07264814525842667;-0.9683443903923035;26249;
266;10891;10.878999710083008;0.2254093736410141;0.078510582447052;-0.07414104789495468;-0.968261182308197;4182;
267;10931;10.918999671936035;0.22545592486858368;0.07804485410451889;-0.0738433226943016;-0.9683107733726501;25543;
268;10971;10.958999633789062;0.22596120834350586;0.07879473268985748;-0.07329973578453064;-0.9681735634803772;4959;
269;11011;10.99899959564209;0.22536584734916687;0.07813132554292679;-0.07481198757886887;-0.9682504534721375;15749;
270;11051;11.038999557495117;0.21538379788398743;0.07755062729120255;-0.07028065621852875;-0.9709048867225647;41804;
271;11091;11.079000473022461;0.21548721194267273;0.07802454382181168;-0.07029277831315994;-0.9708431363105774;34116;
272;11131;11.119000434875488;0.2148943841457367;0.07738223671913147;-0.07214263826608658;-0.97089022397995;24732;
273;11171;11.159000396728516;0.22419987618923187;0.0771496519446373;-0.07921431213617325;-0.9682497382164001;43943;
274;11211;11.199000358581543;0.22519446909427643;0.07734888046979904;-0.0776672288775444;-0.9681283235549927;16185;
275;11251;11.23900032043457;0.22679346799850464;0.07774676382541656;-0.07578869163990021;-0.9678720235824585;17136;
276;11291;11.279000282287598;0.2267277091741562;0.07771829515695572;-0.0757969468832016;-0.9678890705108643;23329;
277;11331;11.319000244140625;0.2167768031358719;0.07821300625801086;-0.07146310806274414;-0.9704552888870239;32414;
278;11371;11.359000205993652;0.2165311723947525;0.07777263969182968;-0.07185263931751251;-0.9705168008804321;30599;
279;11411;11.39900016784668;0.2161785215139389;0.07721313834190369;-0.07277210056781769;-0.9705715179443359;19691;
280;11451;11.439000129699707;0.21870999038219452;0.08102083206176758;-0.07505516707897186;-0.9695195555686951;25569;
281;11491;11.479000091552734;0.2193411886692047;0.0796561986207962;-0.07437239587306976;-0.9695427417755127;54769;
282;11531;11.519000053405762;0.22934965789318085;0.07794321328401566;-0.07923383265733719;-0.966977596282959;10015;
283;11571;11.559000015258789;0.22964727878570557;0.07797520607709885;-0.07839673012495041;-0.9669726490974426;64975;
284;11611;11.598999977111816;0.22009509801864624;0.07846050709486008;-0.07313127815723419;-0.9695637822151184;32742;
285;11651;11.638999938964844;0.23012839257717133;0.0765463188290596;-0.07749269902706146;-0.967045247554779;46444;
286;11691;11.678999900817871;0.22999078035354614;0.07594441622495651;-0.07770667225122452;-0.9671082496643066;14294;
287;11731;11.718999862670898;0.22182126343250275;0.07768489420413971;-0.07077483832836151;-0.9694077968597412;59532;
288;11771;11.758999824523926;0.22200840711593628;0.07842453569173813;-0.07133420556783676;-0.9692642688751221;51852;
289;11811;11.798999786376953;0.2312389463186264;0.07836557179689407;-0.07827159762382507;-0.9665717482566833;10966;
