"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
19;4371;20.742813110351562;36.69634246826172;-90.681396484375;32.75181579589844;-27.700580596923828;64692;
20;4591;22.65930938720703;29.616497039794922;-92.78694915771484;41.57567596435547;-24.32689666748047;28425;
21;4811;23.498435974121094;22.326656341552734;-94.60095977783203;51.62592315673828;-21.014209747314453;43223;
22;5031;23.34538459777832;14.975448608398438;-96.0766830444336;63.68790817260742;-17.891162872314453;27923;
23;5251;22.467510223388672;8.126587867736816;-97.10391998291016;77.90284729003906;-15.358234405517578;55420;
24;5471;21.22095489501953;0.9127130508422852;-97.71815490722656;97.26056671142578;-13.625545501708984;32725;
25;5691;19.779773712158203;-5.178669452667236;-97.88738250732422;116.29822540283203;-13.108664512634277;38758;
26;5911;19.11443519592285;-8.885804176330566;-97.75316619873047;127.69880676269531;-13.520225524902344;37905;
27;6131;19.422983169555664;-10.052082061767578;-97.57920837402344;130.39947509765625;-14.035881996154785;39358;
28;6351;18.796993255615234;-9.954564094543457;-97.71172332763672;131.00140380859375;-13.644829750061035;35879;
29;6571;18.707382202148438;-10.847488403320312;-97.63384246826172;133.4484405517578;-13.875995635986328;26828;
30;6791;18.419836044311523;-10.372956275939941;-97.74002838134766;132.64657592773438;-13.559861183166504;33550;
31;7011;18.800630569458008;-10.970730781555176;-97.6021499633789;133.6234588623047;-13.968971252441406;22526;
32;7231;18.822505950927734;-10.363507270812988;-97.66429138183594;132.0367889404297;-13.786093711853027;6507;
33;7451;18.628414154052734;-9.470622062683105;-97.79206085205078;129.9388885498047;-13.402209281921387;52654;
34;7671;18.8691349029541;-9.798832893371582;-97.71353912353516;130.48825073242188;-13.639333724975586;26961;
35;7891;18.95372772216797;-10.735694885253906;-97.59868621826172;132.80465698242188;-13.97912883758545;49099;
36;8111;18.408308029174805;-10.172715187072754;-97.76324462890625;132.1355743408203;-13.489773750305176;31574;
37;8331;18.65538787841797;-10.173404693603516;-97.71631622314453;131.77935791015625;-13.631060600280762;61880;
38;8551;19.28919792175293;-10.137558937072754;-97.5969009399414;130.80088806152344;-13.984286308288574;13737;
39;8771;18.939109802246094;-11.657527923583984;-97.4957046508789;135.12181091308594;-14.276937484741211;46132;
40;8991;18.381410598754883;-10.729057312011719;-97.70880889892578;133.63108825683594;-13.653536796569824;46560;
41;9211;18.20935821533203;-10.6077241897583;-97.75426483154297;133.5765380859375;-13.516910552978516;28253;
43;9651;18.323436737060547;-11.449499130249023;-97.63790893554688;135.5507049560547;-13.864008903503418;56218;
44;9871;18.66241455078125;-10.14352035522461;-97.71809387207031;131.69064331054688;-13.62576961517334;48876;
45;10091;18.542640686035156;-10.519243240356445;-97.70116424560547;132.84725952148438;-13.676400184631348;30213;
46;10311;18.355361938476562;-10.970562934875488;-97.68687438964844;134.29110717773438;-13.718955039978027;31900;
47;10531;18.280986785888672;-10.615348815917969;-97.74005889892578;133.48779296875;-13.559733390808105;9799;
48;10751;18.764842987060547;-10.841667175292969;-97.62345886230469;133.34898376464844;-13.906521797180176;62606;
49;10971;18.569974899291992;-10.632462501525879;-97.68370819091797;133.10009765625;-13.728408813476562;17389;
50;11191;18.579370498657227;-12.187165260314941;-97.50015258789062;136.95455932617188;-14.264192581176758;4445;
51;11411;18.1345272064209;-10.787741661071777;-97.74845886230469;134.1594696044922;-13.534391403198242;46388;
52;11631;18.510316848754883;-11.230350494384766;-97.62812805175781;134.71304321289062;-13.89284610748291;42659;
53;11851;18.792009353637695;-11.457783699035645;-97.5478286743164;134.8528289794922;-14.126943588256836;23613;
54;12071;18.53797721862793;-11.316276550292969;-97.61293029785156;134.88632202148438;-13.937387466430664;35656;
55;12291;18.265762329101562;-10.209711074829102;-97.78612518310547;132.44384765625;-13.420351028442383;2264;
56;12511;18.52003288269043;-11.363085746765137;-97.61090850830078;135.03076171875;-13.943340301513672;7601;
57;12731;18.421588897705078;-10.651169776916504;-97.70975494384766;133.36924743652344;-13.650681495666504;28861;
58;12951;18.658071517944336;-10.44705867767334;-97.68692779541016;132.49078369140625;-13.718832969665527;27421;
59;13171;18.8428897857666;-10.933026313781738;-97.59821319580078;133.46604919433594;-13.980428695678711;58040;
60;13391;18.75688934326172;-10.475372314453125;-97.66497039794922;132.42092895507812;-13.784051895141602;53402;
61;13611;18.91814613342285;-12.028838157653809;-97.45465850830078;136.05096435546875;-14.393951416015625;10524;
62;13831;18.459299087524414;-10.86242961883545;-97.67938995361328;133.8567352294922;-13.741267204284668;30759;
63;14051;18.393362045288086;-10.982954025268555;-97.67835235595703;134.26478576660156;-13.744354248046875;64139;
