"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
104;64243;0;55.910648345947266;37.805381774902344;200.0;0;0;61276;
105;64723;0;55.910648345947266;37.805381774902344;200.0;0;0;35045;
106;65381;0;55.910648345947266;37.805381774902344;200.0;0;0;20989;
107;66622;0;55.910648345947266;37.805381774902344;200.0;0;0;8468;
108;67264;0;55.910648345947266;37.805381774902344;200.0;0;0;37132;
109;67824;0;55.910648345947266;37.805381774902344;200.0;0;0;39949;
110;68400;0;55.910648345947266;37.805381774902344;200.0;0;0;47255;
111;68942;0;55.910648345947266;37.805381774902344;200.0;0;0;57269;
112;69535;0;55.910648345947266;37.805381774902344;200.0;0;0;47731;
113;70056;0;55.910648345947266;37.805381774902344;200.0;0;0;55794;
114;70684;0;55.910648345947266;37.805381774902344;200.0;0;0;50576;
115;71341;0;55.910648345947266;37.805381774902344;200.0;0;0;25936;
116;71807;0;55.910648345947266;37.805381774902344;200.0;0;0;45700;
117;72590;0;55.910648345947266;37.805381774902344;200.0;0;0;55993;
118;73058;0;55.910648345947266;37.805381774902344;200.0;0;0;53689;
119;73610;0;55.910648345947266;37.805381774902344;200.0;0;0;1190;
120;74155;0;55.910648345947266;37.805381774902344;200.0;0;0;297;
121;74732;0;55.910648345947266;37.805381774902344;200.0;0;0;22232;
122;75365;0;55.910648345947266;37.805381774902344;200.0;0;0;60766;
123;75867;0;55.910648345947266;37.805381774902344;200.0;0;0;2775;
124;76399;0;55.910648345947266;37.805381774902344;200.0;0;0;18043;
125;77060;0;55.910648345947266;37.805381774902344;200.0;0;0;15888;
126;77637;0;55.910648345947266;37.805381774902344;200.0;0;0;63980;
127;78102;0;55.910648345947266;37.805381774902344;200.0;0;0;18518;
128;78661;0;55.910648345947266;37.805381774902344;200.0;0;0;29086;
129;79182;0;55.910648345947266;37.805381774902344;200.0;0;0;4028;
130;79760;0;55.910648345947266;37.805381774902344;200.0;0;0;58176;
131;80449;0;55.910648345947266;37.805381774902344;200.0;0;0;50610;
132;81063;0;55.910648345947266;37.805381774902344;200.0;0;0;10156;
133;81595;0;55.910648345947266;37.805381774902344;200.0;0;0;19809;
134;82158;0;55.910648345947266;37.805381774902344;200.0;0;0;13390;
135;82798;0;55.910648345947266;37.805381774902344;200.0;0;0;54453;
136;83376;0;55.910648345947266;37.805381774902344;200.0;0;0;39017;
137;83953;0;55.910648345947266;37.805381774902344;200.0;0;0;5821;
138;84473;0;55.910648345947266;37.805381774902344;200.0;0;0;51415;
139;85130;0;55.910648345947266;37.805381774902344;200.0;0;0;28451;
140;85596;0;55.910648345947266;37.805381774902344;200.0;0;0;8738;
141;86172;0;55.910648345947266;37.805381774902344;200.0;0;0;6899;
142;87622;0;55.910648345947266;37.805381774902344;200.0;0;0;24888;
143;88114;0;55.910648345947266;37.805381774902344;200.0;0;0;28854;
144;88633;0;55.910648345947266;37.805381774902344;200.0;0;0;36510;
145;89192;0;55.910648345947266;37.805381774902344;200.0;0;0;25057;
146;89908;0;55.910648345947266;37.805381774902344;200.0;0;0;35577;
147;90492;0;55.910648345947266;37.805381774902344;200.0;0;0;48318;
148;91029;0;55.910648345947266;37.805381774902344;200.0;0;0;7864;
149;91551;0;55.910648345947266;37.805381774902344;200.0;0;0;52475;
150;92140;0;55.910648345947266;37.805381774902344;200.0;0;0;59914;
151;92672;0;55.910648345947266;37.805381774902344;200.0;0;0;27420;
152;93342;0;55.910648345947266;37.805381774902344;200.0;0;0;43657;
153;93957;0;55.910648345947266;37.805381774902344;200.0;0;0;64007;
154;94509;0;55.910648345947266;37.805381774902344;200.0;0;0;61725;
155;95165;0;55.910648345947266;37.805381774902344;200.0;0;0;13064;
156;95741;0;55.910648345947266;37.805381774902344;200.0;0;0;52276;
157;96317;0;55.910648345947266;37.805381774902344;200.0;0;0;8701;
158;96805;0;55.910648345947266;37.805381774902344;200.0;0;0;37854;
159;97438;0;55.910648345947266;37.805381774902344;200.0;0;0;20129;
160;97958;0;55.910648345947266;37.805381774902344;200.0;0;0;12257;
161;98646;0;55.910648345947266;37.805381774902344;200.0;0;0;32210;
162;99179;0;55.910648345947266;37.805381774902344;200.0;0;0;15586;
163;99711;0;55.910648345947266;37.805381774902344;200.0;0;0;25459;
164;100245;0;55.910648345947266;37.805381774902344;200.0;0;0;9719;
165;100836;0;55.910648345947266;37.805381774902344;200.0;0;0;2526;
166;101500;0;55.910648345947266;37.805381774902344;200.0;0;0;31075;
167;101965;0;55.910648345947266;37.805381774902344;200.0;0;0;54032;
168;102510;0;55.910648345947266;37.805381774902344;200.0;0;0;43508;
169;103085;0;55.910648345947266;37.805381774902344;200.0;0;0;25968;
170;103755;0;55.910648345947266;37.805381774902344;200.0;0;0;20618;
171;104222;0;55.910648345947266;37.805381774902344;200.0;0;0;10434;
172;104815;0;55.910648345947266;37.805381774902344;200.0;0;0;57235;
173;105349;0;55.910648345947266;37.805381774902344;200.0;0;0;17007;
174;106074;0;55.910648345947266;37.805381774902344;200.0;0;0;51935;
175;106541;0;55.910648345947266;37.805381774902344;200.0;0;0;5023;
176;107214;0;55.910648345947266;37.805381774902344;200.0;0;0;38740;
177;108662;0;55.910648345947266;37.805381774902344;200.0;0;0;42426;
