"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
619;7296;-325;63;928;489;4750;3801;-19;-19;-14;53910;
619;7296;-325;63;928;489;4750;3801;-19;-19;-14;53910;
621;7319;-334;53;925;487;4752;3799;-19;-19;-14;35123;
623;7343;-333;55;926;490;4750;3801;-19;0;-1;29103;
637;7503;-330;56;924;490;4751;3800;-19;-19;-14;11493;
637;7503;-330;56;924;490;4751;3800;-19;-19;-14;11493;
651;7662;-328;56;921;490;4750;3800;0;-19;-14;22419;
651;7662;-328;56;921;490;4750;3800;0;-19;-14;22419;
653;7685;-332;58;929;489;4751;3799;0;-19;-14;9441;
653;7685;-332;58;929;489;4751;3799;0;-19;-14;9441;
655;7709;-331;59;927;489;4750;3799;0;-19;-14;9574;
655;7709;-331;59;927;489;4750;3799;0;-19;-14;9574;
667;7845;-330;54;927;491;4753;3801;0;0;-1;60778;
667;7845;-330;54;927;491;4753;3801;0;0;-1;60778;
669;7869;-330;58;927;490;4750;3801;0;0;-1;60544;
669;7869;-330;58;927;490;4750;3801;0;0;-1;60544;
683;8028;-335;56;924;487;4752;3800;-19;0;-1;32320;
683;8028;-335;56;924;487;4752;3800;-19;0;-1;32320;
685;8051;-332;54;926;491;4751;3801;-19;0;-1;23951;
687;8075;-335;56;927;489;4751;3800;0;0;-1;41258;
687;8075;-335;56;927;489;4751;3800;0;0;-1;41258;
699;8211;-332;63;921;488;4752;3799;-19;-19;-14;49660;
699;8211;-332;63;921;488;4752;3799;-19;-19;-14;49660;
701;8235;-334;61;923;491;4751;3800;-19;-19;-14;21131;
701;8235;-334;61;923;491;4751;3800;-19;-19;-14;21131;
715;8394;-325;63;925;491;4752;3799;-19;-19;-14;2070;
715;8394;-325;63;925;491;4752;3799;-19;-19;-14;2070;
717;8417;-335;57;926;490;4751;3800;-19;-19;-14;27870;
717;8417;-335;57;926;490;4751;3800;-19;-19;-14;27870;
719;8441;-329;61;928;490;4752;3800;-19;-19;-14;6168;
719;8441;-329;61;928;490;4752;3800;-19;-19;-14;6168;
731;8577;-332;64;919;488;4753;3800;0;0;-1;1154;
731;8577;-332;64;919;488;4753;3800;0;0;-1;1154;
733;8601;-333;55;928;489;4752;3799;0;0;-1;47837;
733;8601;-333;55;928;489;4752;3799;0;0;-1;47837;
747;8760;-332;53;921;491;4751;3801;0;0;-1;15019;
747;8760;-332;53;921;491;4751;3801;0;0;-1;15019;
749;8783;-333;55;929;490;4751;3800;0;0;-1;57200;
749;8783;-333;55;929;490;4751;3800;0;0;-1;57200;
751;8807;-330;53;923;489;4752;3800;0;0;-1;17582;
751;8807;-330;53;923;489;4752;3800;0;0;-1;17582;
763;8943;-326;58;921;488;4753;3800;-19;-19;-14;17760;
763;8943;-326;58;921;488;4753;3800;-19;-19;-14;17760;
765;8967;-330;57;925;491;4751;3802;-19;-19;-14;18982;
765;8967;-330;57;925;491;4751;3802;-19;-19;-14;18982;
779;9126;-328;57;921;488;4751;3800;-19;-19;-14;21906;
779;9126;-328;57;921;488;4751;3800;-19;-19;-14;21906;
781;9149;-329;64;928;489;4752;3801;-19;-19;-14;44683;
781;9149;-329;64;928;489;4752;3801;-19;-19;-14;44683;
783;9173;-334;58;926;490;4750;3800;-19;-19;-14;52623;
783;9173;-334;58;926;490;4750;3800;-19;-19;-14;52623;
795;9310;-326;61;927;490;4751;3800;0;0;-1;7261;
795;9310;-326;61;927;490;4751;3800;0;0;-1;7261;
797;9333;-335;55;927;489;4752;3799;0;0;-1;37562;
797;9333;-335;55;927;489;4752;3799;0;0;-1;37562;
811;9492;-331;55;929;489;4753;3799;0;0;-1;49994;
811;9492;-331;55;929;489;4753;3799;0;0;-1;49994;
813;9516;-332;56;927;492;4751;3801;0;0;-1;63429;
813;9516;-332;56;927;492;4751;3801;0;0;-1;63429;
815;9539;-336;59;920;491;4752;3800;0;0;-1;36077;
815;9539;-336;59;920;491;4752;3800;0;0;-1;36077;
827;9675;-332;53;924;488;4752;3799;-19;-19;-14;28514;
827;9675;-332;53;924;488;4752;3799;-19;-19;-14;28514;
829;9699;-328;55;920;489;4752;3799;-19;-19;-14;22039;
829;9699;-328;55;920;489;4752;3799;-19;-19;-14;22039;
843;9858;-327;62;926;490;4750;3802;-19;-19;-14;13823;
843;9858;-327;62;926;490;4750;3802;-19;-19;-14;13823;
845;9882;-331;57;921;490;4750;3801;-19;-19;-14;46388;
845;9882;-331;57;921;490;4750;3801;-19;-19;-14;46388;
847;9905;-329;54;923;487;4750;3801;-19;-19;-14;13254;
847;9905;-329;54;923;487;4750;3801;-19;-19;-14;13254;
859;10041;-330;56;923;489;4752;3801;0;0;-1;39205;
859;10041;-330;56;923;489;4752;3801;0;0;-1;39205;
861;10065;-330;65;926;490;4751;3801;0;-19;-14;57283;
861;10065;-330;65;926;490;4751;3801;0;-19;-14;57283;
875;10224;-328;63;928;490;4751;3801;0;0;-1;26168;
875;10224;-328;63;928;490;4751;3801;0;0;-1;26168;
877;10248;-333;56;930;488;4753;3799;0;0;-1;44698;
877;10248;-333;56;930;488;4753;3799;0;0;-1;44698;
879;10271;-333;54;927;491;4750;3801;0;0;-1;54003;
879;10271;-333;54;927;491;4750;3801;0;0;-1;54003;
891;10408;-330;56;923;489;4751;3800;-19;-19;-14;43789;
891;10408;-330;56;923;489;4751;3800;-19;-19;-14;43789;
893;10431;-326;60;921;489;4751;3801;-19;0;-1;33072;
893;10431;-326;60;921;489;4751;3801;-19;0;-1;33072;
909;10614;-332;55;924;490;4751;3801;-19;-19;-14;29819;
909;10614;-332;55;924;490;4751;3801;-19;-19;-14;29819;
911;10637;-326;58;920;492;4752;3802;-19;-19;-14;32419;
911;10637;-326;58;920;492;4752;3802;-19;-19;-14;32419;
923;10774;-330;60;929;491;4751;3801;0;-19;-14;62547;
923;10774;-330;60;929;491;4751;3801;0;-19;-14;62547;
925;10797;-332;54;927;488;4754;3800;-19;-19;-14;41687;
925;10797;-332;54;927;488;4754;3800;-19;-19;-14;41687;
939;10956;-328;52;923;489;4752;3800;0;0;-1;17134;
939;10956;-328;52;923;489;4752;3800;0;0;-1;17134;
941;10980;-332;61;920;492;4751;3801;0;0;-1;31349;
941;10980;-332;61;920;492;4751;3801;0;0;-1;31349;
955;11140;-329;69;928;492;4752;3802;-19;0;-1;16185;
957;11163;-329;51;922;484;4749;3799;-19;0;-1;16770;
957;11163;-329;51;922;484;4749;3799;-19;0;-1;16770;
971;11322;-339;58;920;493;4754;3800;-19;-19;-14;11691;
971;11322;-339;58;920;493;4754;3800;-19;-19;-14;11691;
