"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
491;75748;75.73699951171875;0.019107701256871223;0.2640577554702759;-0.9620440006256104;0.0661795362830162;41872;
493;76022;76.01100158691406;0.011576874181628227;0.3139229118824005;-0.9476292133331299;0.05759571120142937;19449;
495;76281;76.2699966430664;0.013240410946309566;0.26071804761886597;-0.96370530128479;0.055882617831230164;8681;
497;76555;76.54399871826172;0.018275689333677292;0.427960067987442;-0.9006345272064209;0.07330461591482162;42415;
499;76816;76.80500030517578;0.03226422891020775;0.45384612679481506;-0.886044979095459;0.08892102539539337;11389;
500;76933;76.9219970703125;0.03125251457095146;0.4736606776714325;-0.8753086924552917;0.09221507608890533;840;
501;77148;77.13600158691406;0.030522802844643593;0.4546548128128052;-0.8850604891777039;0.09500166028738022;8701;
503;77408;77.39600372314453;0.02891542762517929;0.45075052976608276;-0.8879141807556152;0.0871565118432045;11627;
504;77524;77.51200103759766;0.031493302434682846;0.4635087847709656;-0.8809084296226501;0.09037785977125168;18769;
505;77725;77.71299743652344;0.029840799048542976;0.4976917505264282;-0.8618482351303101;0.09289831668138504;62701;
507;77984;77.9729995727539;0.02789483778178692;0.5005079507827759;-0.8611034750938416;0.08493795990943909;51822;
509;78243;78.23200225830078;0.029548829421401024;0.5308117270469666;-0.8424592018127441;0.08733963221311569;3102;
511;78503;78.49199676513672;0.02779623307287693;0.4772486090660095;-0.8737016916275024;0.09003555774688721;42369;
513;78804;78.79199981689453;0.027017030864953995;0.4103730022907257;-0.9069489240646362;0.0911470428109169;55924;
515;79064;79.052001953125;0.02565634436905384;0.4077052175998688;-0.9090324640274048;0.08232943713665009;49350;
517;79324;79.31300354003906;0.015365813858807087;0.40123122930526733;-0.9139435887336731;0.05903007090091705;60512;
518;79441;79.42900085449219;0.02018754929304123;0.4199827313423157;-0.9047025442123413;0.06870485842227936;58423;
519;79642;79.63099670410156;0.021932106465101242;0.40342119336128235;-0.9116361737251282;0.07543034106492996;5699;
521;79904;79.89199829101562;0.02181914635002613;0.4005860388278961;-0.9134159684181213;0.06874564290046692;45094;
522;80022;80.01100158691406;0.02756304107606411;0.4111349582672119;-0.9077876806259155;0.07829274982213974;35252;
