"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
205;32683;83;-19;-996;499;4757;3828;-19;0;0;52814;
207;32956;62;0;-999;507;4721;3804;-19;-19;-13;16968;
208;33089;42;-19;-1000;497;4754;3803;-19;-19;-13;25125;
209;33293;51;-8;-996;495;4748;3804;-19;-19;-13;24545;
211;33560;48;-12;-1000;494;4756;3806;-19;0;0;34605;
212;33676;48;-9;-988;492;4748;3807;0;-19;-13;11600;
213;33877;48;-21;-999;500;4739;3803;0;-19;-13;975;
215;34137;54;10;-986;544;4726;3806;-19;0;0;10255;
217;34399;50;-11;-1001;414;4799;3780;-19;-19;-13;13498;
218;34515;43;-13;-990;493;4760;3801;0;-19;-13;37106;
219;34731;45;-18;-985;577;4709;3809;0;-19;-13;62275;
221;35004;40;-26;-990;433;4797;3797;0;0;0;49603;
223;35264;32;4;-977;518;4734;3817;-19;0;0;365;
225;35524;61;3;-997;566;4720;3799;0;-19;-13;53925;
227;35797;53;-18;-1009;493;4757;3805;0;0;0;35489;
229;36069;54;1;-995;496;4755;3804;-19;0;0;5734;
230;36199;49;-16;-995;496;4756;3803;-19;-19;-13;16862;
231;36399;54;-10;-998;525;4756;3804;0;-19;-13;51289;
233;36658;52;-10;-1001;496;4756;3802;-19;0;0;50588;
234;36775;53;-8;-996;490;4746;3803;-19;-19;-13;64730;
235;37058;54;-9;-999;530;4742;3792;0;-19;-13;60006;
237;37319;50;-14;-993;497;4755;3804;-19;0;0;761;
239;37592;57;-18;-1001;497;4760;3803;-19;0;0;25791;
241;37915;52;-11;-982;499;4757;3802;-19;-19;-13;50637;
243;38202;60;-11;-995;491;4777;3803;0;-19;-13;7427;
245;38462;59;-16;-1000;503;4737;3805;0;-19;-13;59957;
247;38722;48;-17;-1001;497;4759;3816;-19;0;0;52538;
249;38996;49;-13;-993;495;4757;3803;-19;-19;0;31909;
251;39257;51;-12;-993;497;4755;3799;0;-19;-13;18891;
252;39386;41;-14;-999;488;4795;3792;0;-19;-13;25571;
253;39587;59;-10;-996;495;4768;3802;-19;0;0;19495;
255;39852;61;-21;-988;494;4751;3802;-19;0;0;32346;
256;39971;54;-13;-1003;494;4760;3802;-19;0;0;21019;
257;40179;53;-13;-996;496;4764;3804;0;-19;-13;39016;
259;40439;52;-20;-998;496;4754;3805;-19;0;0;60929;
261;40700;52;-31;-996;495;4766;3804;-19;-19;-13;18076;
43950;1431682933;-21666;-21;-677;22517;30391;-20774;-21590;-19;-9;63319;
262;40816;14;-31;-997;500;4755;3784;0;-19;-13;62275;
263;41100;47;-9;-994;496;4755;3803;-19;0;0;60721;
264;41229;50;-8;-994;495;4758;3804;-19;0;0;39293;
265;41445;52;-3;-987;496;4757;3802;-19;0;0;62954;
267;41704;51;-14;-1005;495;4752;3802;0;-19;-13;60167;
269;41964;49;-6;-990;495;4756;3802;-19;0;0;62121;
271;42237;56;1;-982;495;4757;3803;-19;0;0;28106;
273;42496;53;-9;-996;496;4756;3804;0;-19;-13;60195;
275;42769;48;-13;-996;497;4756;3802;-19;0;0;13838;
277;43124;48;-16;-1000;498;4756;3803;-19;-19;-13;19029;
278;43239;46;-5;-992;498;4751;3802;0;-19;-13;24337;
279;43440;42;-8;-996;482;4801;3801;-19;0;0;37055;
281;43700;62;-6;-988;478;4822;3800;-19;-19;-13;7114;
283;43961;41;-18;-984;498;4756;3801;0;-19;-13;36727;
284;44077;43;-16;-997;495;4758;3802;-19;0;0;63135;
285;44278;50;-12;-985;497;4761;3803;-19;0;0;62463;
286;44408;54;-17;-1005;504;4736;3800;-19;-19;-13;8302;
287;45384;52;-14;-1008;492;4765;3801;-19;0;0;51848;
290;45760;56;-13;-998;487;4784;3801;0;0;0;18390;
291;45903;64;-6;-999;500;4744;3803;0;0;0;13143;
292;46019;45;-12;-977;501;4758;3803;-19;0;0;47666;
293;46301;62;-14;-990;500;4754;3801;0;-19;-13;53347;
294;46417;56;-13;-999;504;4719;3805;-19;0;0;38385;
297;46878;55;-17;-1001;496;4757;3802;0;-19;-13;3146;
298;46994;58;-4;-996;498;4756;3804;0;0;0;35143;
299;47195;40;-24;-980;498;4761;3803;-19;0;0;3757;
300;47311;78;3;-983;486;4793;3802;0;-19;-13;39783;
301;47515;54;-11;-985;492;4766;3796;0;-19;-13;11804;
303;47781;2;-8;-989;516;4678;3808;-19;-19;-13;3148;
305;48140;52;-10;-1007;492;4753;3802;0;-19;-13;15932;
307;48413;57;0;-990;488;4757;3800;0;-19;-13;36572;
309;48687;55;-16;-995;498;4764;3803;-19;0;0;3752;
311;48961;54;4;-997;497;4753;3802;-19;0;0;35358;
313;49222;53;-9;-985;502;4759;3799;-19;-19;-13;28374;
314;49337;64;0;-989;496;4764;3803;0;-19;-13;50343;
315;49537;54;-9;-997;494;4756;3801;-19;0;0;53007;
317;49854;33;-75;-1076;460;4742;3829;0;-19;-13;47164;
319;50113;-151;56;-1022;545;3939;3667;-19;0;0;10641;
320;50229;-224;23;-1028;292;4255;3195;0;-19;-13;55868;
321;50429;-291;-204;-936;504;3969;3497;0;-19;-13;46813;
323;50701;-304;-76;-867;-668;4457;3017;-19;0;0;52742;
325;50961;-521;-16;-598;20;5013;2401;0;-19;-13;28952;
327;51221;-566;-20;-884;726;4627;3424;0;-19;-13;49891;
329;51508;-524;-124;-845;330;4860;3731;0;0;0;39654;
331;51781;-407;-443;-1046;286;5520;2448;-19;0;0;41381;
333;52060;-64;-301;-830;921;4970;3384;-19;0;0;45604;
335;52319;-45;-234;-765;-747;5060;4845;-19;-19;-13;289;
336;52435;18;-195;-949;334;4763;4548;0;-19;-13;44449;
337;52635;139;-35;-964;-445;5149;4927;-19;0;0;15782;
339;52908;217;-149;-1106;493;4366;4327;-19;-19;0;48982;
341;53181;-3;-50;-1001;287;4561;4811;0;-19;-13;54098;
342;53296;172;-162;-1232;389;4589;3546;-19;0;0;65155;
343;53497;15;-16;-986;496;4754;3801;-19;-19;-13;3002;
345;53770;10;-21;-995;498;4755;3804;0;-19;-13;64873;
347;54029;9;-27;-1004;502;4753;3803;0;0;0;10461;
348;54148;7;-22;-993;498;4757;3803;-19;0;0;62806;
349;54433;12;-20;-996;496;4759;3803;-19;0;0;3972;
351;54796;20;-34;-1014;498;4756;3802;-19;0;0;34252;
353;55056;18;-28;-1009;495;4757;3803;-19;-19;-13;23592;
355;55329;18;-35;-1031;487;4764;3798;0;-19;-13;33748;
357;55590;10;-21;-975;496;4756;3803;0;0;0;1999;
358;55707;15;-30;-1006;497;4756;3802;-19;0;0;54695;
359;55909;12;-21;-991;502;4753;3802;-19;-19;-13;39415;
360;56038;14;-26;-996;494;4757;138;4608;389;18773;21058;
21995;1431690102;21845;-21;-661;22005;22197;24283;-21846;-19;-9;55126;
361;56182;16;-21;-991;497;4757;3803;0;-19;-13;54098;
363;56441;16;-18;-994;496;4756;3802;-19;0;0;36263;
364;56557;13;-24;-1000;498;4756;3803;-19;-19;-13;2994;
365;56841;9;-27;-995;496;4758;3802;0;-19;-13;27176;
367;57114;12;-28;-991;494;4761;3801;-19;0;0;13065;
369;57373;5;-26;-990;513;4745;3804;-19;-19;-13;30025;
370;57489;0;-32;-979;493;4758;3798;0;-19;-13;36659;
371;57689;15;-21;-994;495;4759;3802;-19;0;0;49122;
373;57963;11;-12;-998;534;4769;3804;-19;0;0;10307;
375;58222;10;-22;-996;500;4759;3802;0;-19;-13;56399;
376;58338;10;-16;-917;503;4767;3804;-19;0;0;47817;
377;58539;38;-15;-997;505;4754;3837;-19;0;0;60105;
379;58894;19;-19;-1003;480;4764;3808;0;-19;-13;47188;
380;59015;19;-18;-994;489;4762;3801;0;-19;-13;20097;
381;59229;6;-19;-998;490;4760;3803;0;-19;-13;18652;
383;59501;0;-32;-991;479;4766;3801;-19;0;0;11601;
385;59761;12;-17;-1000;491;4754;3802;-19;-19;-13;47056;
387;60020;12;-13;-994;511;4764;3802;0;-19;-13;22762;
389;60305;10;-15;-998;485;4750;3801;-19;0;0;20487;
391;60564;14;-25;-1006;492;4755;3803;-19;-19;-13;42206;
393;60837;11;-23;-967;511;4763;3801;0;-19;-13;37745;
394;60953;14;-13;-1004;497;4757;3803;-19;0;0;41406;
395;61156;7;-8;-1005;491;4754;3803;-19;0;0;1243;
397;61422;12;-19;-977;492;4760;3802;0;0;0;5550;
398;61541;25;-47;-998;540;4773;3803;-19;0;0;9822;
399;61741;13;-13;-996;487;4753;3801;-19;-19;-13;44457;
401;62000;20;-29;-990;503;4760;3802;0;-19;-13;40686;
402;62116;15;-14;-1008;502;4756;3802;-19;0;0;5117;
403;62331;26;-41;-983;481;4750;3802;-19;0;0;1278;
405;62593;16;-31;-1000;508;4760;3803;-19;-19;-13;44637;
407;62853;12;-27;-1018;488;4757;3803;0;-19;-13;51865;
409;63112;12;-35;-1000;506;4757;3803;-19;0;0;64712;
411;63481;8;-40;-1014;472;4745;3802;-19;-19;-13;46633;
413;63742;19;-28;-977;495;4757;3800;0;-19;-13;3453;
415;64014;10;-29;-998;468;4752;3802;-19;0;0;39416;
416;64131;23;-14;-976;476;4757;3799;-19;-19;-13;63245;
417;64345;17;-15;-1005;493;4750;3803;0;-19;-13;339;
419;64605;11;-28;-998;496;4759;3803;0;0;0;4125;
421;64864;20;-25;-998;490;4753;3802;-19;-19;-13;34047;
423;65138;15;-26;-983;500;4756;3803;-19;-19;-13;15628;
424;65268;14;-22;-999;496;4756;3802;0;-19;-13;14805;
426;65585;16;-31;-1013;491;4757;3803;-19;-19;-13;11894;
429;66763;15;-36;-1007;501;4752;3806;-19;0;0;736;
431;67022;-2;-11;-999;494;4762;3804;0;-19;-13;21710;
432;67151;2;-30;-1008;502;4757;3800;0;0;0;16852;
433;67352;29;-25;-989;507;4755;3770;-19;0;0;11328;
435;67611;12;-18;-990;487;4759;3803;0;-19;-13;285;
437;67966;16;-26;-995;496;4758;3803;-19;0;0;54415;
438;68082;11;-24;-993;494;4758;3801;-19;-19;-13;26862;
439;68282;17;-28;-996;495;4758;3802;0;-19;-13;476;
441;68541;10;-30;-991;493;4760;3802;-19;0;0;41049;
443;68807;12;-30;-1007;495;4757;3802;-19;0;0;38256;
445;69088;14;-27;-993;498;4756;3803;0;-19;-13;20142;
446;69216;10;-24;-995;495;4756;3802;0;0;0;46068;
447;69416;15;-26;-997;497;4756;3803;-19;0;0;65526;
449;69676;14;-24;-990;497;4755;3803;0;-19;-13;39001;
451;69937;14;-27;-995;495;4756;3802;-19;0;0;15013;
453;70212;3;-24;-1003;496;4756;3803;-19;0;0;28221;
455;70471;9;-24;-999;494;4757;3802;0;-19;-13;52910;
457;70839;20;-31;-982;501;4748;3803;0;0;0;64580;
459;71113;10;-22;-998;496;4755;3802;-19;0;0;53842;
460;71229;4;-20;-996;496;4757;3803;-19;-19;-13;595;
461;71429;16;-27;-986;498;4758;3803;0;-19;-13;48247;
463;71689;19;-24;-989;497;4756;3803;-19;0;0;15372;
465;71949;10;-27;-998;495;4759;3802;0;-19;-13;29016;
